  TIME   T0    T1    T2    T3    T4    T5    T6    T7    T8    T9   T10
  .000   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.
  .308   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.   20.
  .618   21.   21.   20.   20.   20.   20.   20.   20.   20.   20.   20.
  .927   22.   22.   22.   22.   22.   22.   22.   22.   22.   22.   22.
 1.236   26.   26.   26.   25.   25.   25.   25.   25.   25.   25.   25.
 1.545   30.   30.   30.   30.   30.   30.   30.   30.   29.   29.   29.
 1.854   36.   36.   35.   35.   35.   35.   35.   35.   35.   35.   35.
 2.163   42.   41.   41.   41.   41.   41.   41.   41.   41.   41.   41.
 2.473   48.   48.   48.   47.   47.   47.   47.   47.   47.   47.   47.
 2.782   55.   55.   54.   54.   54.   54.   54.   54.   54.   53.   53.
 3.091   62.   61.   61.   61.   61.   61.   61.   60.   60.   60.   60.
 3.401   69.   68.   68.   68.   68.   68.   67.   67.   67.   67.   67.
